学科,年级,册次,章节,课程名称,钩子确认版,标签确认版,学名确认版,url确认版,压图后封面url二次确认,备注问题,去内容标签新封面url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,认识平面图形,七巧板,七块板拼万千图！,【一年级】★【数学启蒙】,七巧板,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_fd59ca0ed8ca067abc87256209442b71.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/714bfc8a738a42d489b4ca5e35266d77.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/7d1ac580c9174f4ca68b6f4c9e3afc5c.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,认识平面图形,平面图形的组拼,图形组合大魔法！,【一年级】★【数学启蒙】,平面图形组拼,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_528a3ce56c05f63a93301fdc1b4d01bf.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d43436db7fd64e008e3df2aeadf89d24.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/6c15f971f1844450a5cf11857d96b22d.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,认识平面图形,认识平面图形,图形家族大集合！,【二年级】★【数学启蒙】,认识平面图形,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_5aeee5320fa484221ab2ce021be31449.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/0a7d2412280c45479e20a5e3dcfe6e3b.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/e45129b5b4cb4c27bce3f629996673a4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,1000以内数的认识,千的世界真大！,【二年级】★【数学启蒙】,千以内数认识,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_58e65777679f21e71667548763023723.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8702a9dbd1634348a86b7b289f99ac56.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,万以内数的大小比较,谁是数字大王？,【二年级】★【数学启蒙】,万以内比大小,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_eec11130bdbbd78967b47b8e72948a82.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/2047a4125d014a5b8a149ca08a8c8bb8.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/4bedc53e0dff424487c89df4ec20d6fe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,万以内数的组成,大数字拼拼乐！,【二年级】★【数学启蒙】,万以内数组成,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_bdcb0ab114cbe8205830d7cd2eec152f.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/6773b292da684695a639ad92a6e10d23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,万以内数的读法,大数字会说话！,【二年级】★【数学启蒙】,万以内数读法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_fd0854198d5031d317f3e7c8b7fd0f5b.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3d38f835bd584f139c75f3df96d67197.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,简单的加、减法,加减好朋友！,【二年级】★【认知启蒙】,简单的加减法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_e827f033f35777fa5ceb5c99873b6a69.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/35ff3248975a44c0ad30f484c33c2b48.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,认识算盘和用算盘表示数,珠子会算数！,【二年级】★【数学启蒙】,认识算盘表数,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d909b3ff3aa41508f1dbb3ee9fdf7699.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/25ef68c008384e27af17da14f7f52ef0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,万以内数的认识,认识计数单位“万”及数位顺序表,万是个大家族！,【二年级】★【数学启蒙】,认识万与数位,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_7e1562e66ba26c96a478231b09003c34.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/108205f5ef5d46be847d7bf424343e17.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
